CANALE;DATA;Npdv;VALORE;QUANTITA;;;;
2;01/03/2021;20;10422980;6658633;;;;
2;01/04/2021;20;12137307;7532240;;;;
2;01/05/2021;20;17016296;9936917;;;;
2;01/06/2021;20;22585814;14180696;;;;
2;01/07/2021;21;25940470;16288372;;;;
2;01/08/2021;21;27107921;16704756;;;;
2;01/09/2021;21;19121318;11085410;;;;
2;01/10/2021;21;16045009;8892712;;;;
2;01/11/2021;21;15039642;7931174;;;;
2;01/12/2021;21;19835817;8854561;;;;
2;01/01/2022;21;12054109;6783764;;;;
2;01/02/2022;21;13586832;7429588;;;;
2;01/03/2022;21;17678239;9353659;;;;
2;01/04/2022;21;20137460;10486472;;;;
2;01/05/2022;21;21622103;11903562;;;;
2;01/06/2022;21;27675452;15771100;;;;
2;01/07/2022;21;29778601;17508509;;;;
2;01/08/2022;21;31253542;17099585;;;;
2;01/09/2022;21;21745142;11460818;;;;
2;01/10/2022;21;19593328;9759383;;;;
